timestamp,voltage_load1,voltage_load2,voltage_load3,voltage_load4,voltage_load5,voltage_load6,voltage_load7,voltage_load8,voltage_load9,voltage_load10,voltage_load11,voltage_load12,voltage_load13,voltage_load14,voltage_load15,voltage_load16,voltage_load17,voltage_load18,voltage_load19,voltage_load20,voltage_load21,voltage_load22,voltage_load23,voltage_load24,voltage_load25,voltage_load26,voltage_load27,voltage_load28,voltage_load29,voltage_load30,voltage_load31,voltage_load32,voltage_load33,voltage_load34,voltage_load35,voltage_load36,voltage_load37,voltage_load38,voltage_load39,votlage_load40,voltage_load41,voltage_load42,voltage_load43,voltage_load44,voltage_load45,votlage_load46,voltage_load47,voltage_load48,voltage_load49,voltage_load50,voltage_load51,voltage_load52,voltage_load53,voltage_load54,voltage_load55
2000-01-01 00:01:00 EST,252.1136684,252.0999536,252.1123023,252.0464996,252.0464996,252.0985877,252.0441519,252.0670004,252.0220448,252.0383218,252.0396877,252.0640003,252.0316256,252.0093845,252.0316256,252.0550002,252.0570002,252.049,252.0490001,251.9582431,251.9782337,251.9573771,252.000441,252.042,251.9123967,251.9952443,252.039,252.039,251.9095308,251.9132627,251.9095308,252.034,252.052,251.9233247,251.9691576,251.9664257,251.9664257,251.9866822,252.029,251.9789863,251.9607635,252.029,252.0230001,251.9930122,251.9607635,251.9283245,252.0230001,251.9288245,251.9283245,251.9468712,251.9259585,251.9161286,251.9463713,251.9245925,251.9152625
2000-01-01 00:02:00 EST,252.1140343,252.0944898,252.1135341,252.0480974,252.0480974,252.0944898,252.0350899,252.0730006,252.0245087,252.0297597,252.0297597,252.0710005,252.0208314,252.0113484,252.0216975,252.0650004,252.0660004,252.0560001,252.0560002,251.9619393,251.9810636,251.9605732,251.9825844,252.0490002,251.9164593,251.9822181,252.0460001,252.0460001,251.9127274,251.9164593,251.9127274,252.0410002,252.0590001,251.9270212,251.9538993,251.9516672,251.9516672,251.9745222,252.0360001,251.9659601,251.9486034,252.0360001,252.0300002,251.9808521,251.9486034,251.9311547,252.0310002,251.9325207,251.9311547,251.9347111,251.9296548,251.918959,251.933845,251.9282888,251.918959
2000-01-01 00:03:00 EST,252.1084727,252.0989539,252.1071066,252.0356077,252.0356077,252.0989539,252.0440182,252.0540002,252.0089208,252.038688,252.038688,252.0510002,252.0319918,251.9940284,252.0319918,252.0320001,252.0370001,252.036,252.036,251.9396548,251.9596454,251.9382887,251.9931113,252.03,251.8941741,251.9939775,252.028,252.028,251.8904422,251.8941741,251.8904422,252.024,252.039,251.9047361,251.9649262,251.9626942,251.9626942,251.9857818,252.02,251.9772198,251.9598629,252.019,252.014,251.9926115,251.9598629,251.8929777,252.014,251.8970758,251.8957098,251.9454708,251.8969418,251.8871119,251.9454708,251.8955758,251.8871119
2000-01-01 00:04:00 EST,252.089422,252.107615,252.0889218,251.9851738,251.989272,252.1067489,252.0602416,252.025,251.9686836,252.0549113,252.0549113,252.023,252.0505808,251.9539253,252.0514469,251.9830003,251.9930002,252.0010005,252.0010004,251.896453,251.9164439,251.8950869,252.0120669,251.9940005,251.8509708,252.0137992,251.9920005,251.9920005,251.8472387,251.8509708,251.8472387,251.9870007,252.0040005,251.8615332,251.9838819,251.9816498,251.9816498,252.0064696,251.9810009,251.9984074,251.9805508,251.9790009,251.9750007,252.0124332,251.9805508,251.8417131,251.9760007,251.8471773,251.8458112,251.9666585,251.8516413,251.8413107,251.9666585,251.8502753,251.8404447
2000-01-01 00:05:00 EST,252.0863616,252.1114802,252.0854957,251.9809187,251.9841511,252.1106141,252.0691057,251.961,251.9638317,252.0632756,252.0632756,251.959,252.0595788,251.9483421,252.0604449,251.9120004,251.9220003,251.9120009,251.900001,251.8899061,251.9107635,251.88854,252.0240633,251.9040009,251.8444215,252.0240633,251.901001,251.901001,251.8406891,251.8444215,251.8406891,251.8910013,251.916001,251.8549844,251.9953779,251.9931458,251.9931458,252.0158674,251.8770016,252.0055732,251.9797881,251.8720017,251.876001,252.0221974,251.9780559,251.8240049,251.876001,251.8330674,251.8317013,251.968994,251.8433616,251.83303,251.9681279,251.8419955,251.83303
2000-01-01 00:06:00 EST,252.0956554,252.0968555,252.0942893,252.0005067,252.004605,252.0968555,252.042356,251.9490003,251.9873835,252.0356599,252.0365259,251.9470003,252.0302312,251.975492,252.0302312,251.898,251.9080001,251.896,251.883,251.9263498,251.9446094,251.9249837,251.9753942,251.886,251.8902569,251.9866884,251.881,251.881,251.8894884,251.8911229,251.8894884,251.867,251.9020008,251.8990877,251.8972722,251.9122628,251.9122628,251.9781262,251.8490001,251.968332,251.9416811,251.8430001,251.85,251.9844563,251.9408151,251.8742442,251.85,251.8805745,251.8792084,251.9308869,251.8872706,251.8769389,251.9308869,251.8859045,251.8769389
2000-01-01 00:07:00 EST,252.0851299,252.0993202,252.084264,251.9742226,251.9755887,252.0988203,252.0469188,251.9440001,251.9661982,252.0415886,252.0415886,251.9420001,252.0352937,251.9543068,252.0361598,251.892,251.901,251.885,251.8730001,251.905299,251.9230586,251.9039329,251.9823227,251.8750001,251.8695712,251.9936168,251.8670001,251.8640002,251.8684367,251.8695712,251.8684367,251.8550002,251.8920003,251.8775362,251.9042006,251.9191913,251.9191913,251.9855547,251.8370003,251.9766264,251.9499755,251.8310004,251.8380001,251.9927508,251.9482434,251.8536936,251.8380001,251.8600239,251.8586578,251.9391813,251.8662198,251.856388,251.9391813,251.8648537,251.8558879
2000-01-01 00:08:00 EST,252.0761052,252.1041506,252.075605,251.955904,251.9572702,252.1036507,252.0570793,251.925,251.9439161,252.0517491,252.0517491,251.923,252.0471863,251.9289269,252.0471863,251.8670004,251.8780002,251.8610005,251.8500008,251.8728574,251.8923489,251.8723571,251.9968135,251.8500008,251.8371282,252.009706,251.8380011,251.8330012,251.8359936,251.8371282,251.8359936,251.8310013,251.868,251.8450935,251.9186913,251.9323161,251.9331822,252.00201,251.8140019,251.9934479,251.967163,251.8070021,251.8170013,252.0074739,251.9657971,251.8090913,251.8170013,251.8145558,251.8131897,251.955869,251.8075906,251.804089,251.955869,251.8012602,251.804089
2000-01-01 00:09:00 EST,252.0763743,252.1102479,252.0763743,251.9575774,251.9598095,252.1102479,252.0692746,251.888,251.9465906,252.0630783,252.0639444,251.885,252.0608817,251.9317364,252.0608817,251.8250005,251.8360004,251.8080008,251.7980012,251.8773026,251.8962941,251.8759364,252.0138747,251.7940013,251.8412054,252.028633,251.7730018,251.7600022,251.8395701,251.8412054,251.8395701,251.773002,251.814,251.850037,251.9352528,251.9502433,251.9502433,252.020437,251.7550026,252.0118748,251.9855901,251.7490029,251.759002,252.027267,251.9847241,251.8136711,251.759002,251.8191357,251.8177696,251.9756619,251.8121701,251.8086679,251.9747959,251.8058396,251.8086679
2000-01-01 00:10:00 EST,251.8561016,252.1216512,251.8547354,251.4616107,251.4607448,252.1211518,252.1011842,252.1060496,251.3542639,252.0958533,252.0958533,252.1040499,252.0967702,251.2729704,252.0976368,252.0850699,252.0910688,252.113123,252.0951204,251.039289,251.1025909,251.038789,252.0688625,252.111139,251.003567,252.1027249,252.1011563,252.0891596,251.0024333,251.003567,251.0024333,252.1572185,252.1201079,251.0115307,251.9902353,252.0052315,252.0052315,252.1027508,252.1742681,252.1048668,252.0860685,252.1672705,252.2183189,252.1023351,252.0847033,250.673645,252.2193188,250.6845728,250.6832068,252.075645,250.3817723,250.5109992,252.0747778,250.2748693,250.5109992
2000-01-01 00:11:00 EST,252.0544581,252.1208739,252.0539578,251.9127063,251.9168048,252.1208739,252.0907581,251.8980014,251.8818625,252.0854279,252.0854279,251.8960014,252.0846954,251.8570797,252.0851952,251.8480034,251.8550031,251.8210075,251.8090076,251.7703973,251.8001833,251.7698969,252.0502792,251.8040085,251.689718,252.0744658,251.7810104,251.7690113,251.7003778,251.6951824,251.7003778,251.7770131,251.8380059,251.7163091,251.9745872,251.9895786,251.9895786,252.0711006,251.7490161,252.0657703,252.0484135,251.7380172,251.7550145,252.0730998,252.0484135,251.6592586,251.7560144,251.6674557,251.6592586,252.0340214,251.6961454,251.6854465,252.0331552,251.6947792,251.6849462
2000-01-01 00:12:00 EST,252.0552277,252.128837,252.0543619,251.9158817,251.9191144,252.128837,252.1063185,251.8430017,251.8853082,252.1009882,252.1009882,251.8380019,252.1007558,251.8605259,252.1016219,251.7970039,251.8040036,251.7610087,251.7500087,251.77548,251.804766,251.7741138,252.0692045,251.7420098,251.694797,252.0947571,251.7120123,251.6950137,251.7045909,251.6988955,251.7045909,251.7130147,251.7780069,251.7213891,251.9935121,252.0085031,252.0085031,252.0913916,251.686018,252.0860613,252.0687047,251.675019,251.6920162,252.093891,252.0687047,251.663976,251.6920162,251.6721733,251.663976,252.0539463,251.7008638,251.6901642,252.0539463,251.6994976,251.6901642
